smiles,fitness,score,generation
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,69.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,70.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,71.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,72.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,73.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,74.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,75.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,76.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,77.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,78.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,79.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,80.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,81.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,82.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,83.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,84.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,85.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,86.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,87.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,88.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,89.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,90.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,91.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,92.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,93.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,94.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,95.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,96.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,97.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,98.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,99.0
