bit,mean_abs,mean_signed,impact,idf
1146,0.0753978839759392,0.0130354922152592,0.0009828485296153719,1.4446864768336096
1346,0.0747394609948829,-0.0055690543031549,-0.00041622811686903044,2.888493522884392
945,0.0746869438836637,0.0034492697062122,0.00025761541298749174,2.2381090738096807
79,0.0734288779685447,0.000771930672293,5.6682003135979375e-05,2.846278320385653
1494,0.0727509362104115,0.0132686487075153,0.0009653066157188046,1.0546336814958996
162,0.07189315679554,0.0368102655996515,0.002646406196441217,3.137756773583409
1194,0.070450136511229,0.003680210807118,0.00025927135375156335,2.8820465091501744
193,0.0696390208319418,-0.0321354768447609,-0.002237883141436688,2.7066511801885027
18,0.0695323532141781,0.0312796053612573,0.002174944568379041,2.8281860023421905
58,0.0688405720442099,-0.0387501680746717,-0.00266758373706968,5.326716841069735
19,0.0678181946859674,-0.0008200666764095,-5.56154415162137e-05,1.5980035348084372
2019,0.0674543802327293,-0.0387399698571204,-0.0026131806569466716,3.6030687977008253
1302,0.0672551819321206,0.0178136880073985,0.001198062827819621,1.781888349432792
233,0.0668391461960388,-0.0003385788077126,-2.263031842758298e-05,1.0546336814958996
363,0.0667438798051617,-0.0180707334358844,-0.001206110860435785,3.3962098401511165
311,0.0648221273913293,0.0045884082996999,0.00029743038732657956,2.3503058292054573
1652,0.0640581474435822,0.0015710099563324,0.0001006359874180765,2.3503058292054573
624,0.063626159784875,-0.0145658905603928,-0.0009267716802045547,2.5034780353734356
1274,0.0630575767123575,0.0128502983793866,0.0008103086758348537,2.315872987320981
240,0.0629015137223717,-0.0094686836035799,-0.000595594531623377,2.2050954717167888
105,0.0625035693571685,-0.0122175230716398,-0.0007636388006810445,1.7997513191576076
1793,0.0622443456468494,-0.0424343677502578,-0.002641299453552566,4.344345567706193
1518,0.0612834612195663,0.0026726459512414,0.00016378899450653322,2.3503058292054573
1285,0.0604028326585066,0.0287171229315847,0.0017345955708702732,2.772588722239781
816,0.0599744140711553,-0.0036870701770553,-0.00022112987350812245,2.586806493816846
1176,0.0598622275402142,-0.0170622648602296,-0.0010213851814144654,3.5397700315260954
2005,0.0596650072502337,0.0059222111235745,0.0003533487696254872,2.2507519443540285
1046,0.0591000960935918,0.0003235552041298,1.912214365565289e-05,2.8809760362558023
1570,0.0590041826887389,0.0026529575993376,0.00015653559485679394,2.3503058292054573
724,0.0576244070429659,-0.0023926985118754,-0.00013787783297940684,2.554642654472898
1042,0.0573510529135278,0.0080956742802928,0.0004642954440197585,2.2507519443540285
1500,0.0557867685233155,-0.0038051215967247,-0.0002122754377195495,2.2507519443540285
1703,0.0554277657365627,-0.0078295498473054,-0.0004339744547591839,3.1176739443592334
1295,0.0549333097913875,-0.0105620658013066,-0.0005802092327001949,1.215640609193618
1870,0.0548824777018633,-0.0039385208538011,-0.0002161557829370625,2.7223519858130696
629,0.0547316992100827,-0.0014792374062555,-8.096117677947893e-05,1.6137471840221989
1468,0.0537861850703427,-0.0031266728019267,-0.00016817180197883645,2.554642654472898
119,0.0537718879924176,-0.0126683307467618,-0.0006812000619657755,3.455231270154641
970,0.0535273850418782,-0.0021179291531548,-0.00011336720927233602,2.554642654472898
1649,0.0534750330091756,-0.0134382066494846,-0.000718608544165312,3.455231270154641
1114,0.0532731648594179,-0.0130355281563614,-0.0006944438405034248,3.455231270154641
1626,0.0530255636388012,-0.0133558083777495,-0.0007081992670819903,3.455231270154641
1733,0.0528692330973935,-0.0121827305516638,-0.0006440916212986507,3.455231270154641
1583,0.0520683844624447,0.0125494745563941,0.0006534308660039957,2.1951666962267753
1960,0.0517677768362134,0.0121692475271344,0.0006299748902493353,3.8776215787108135
1745,0.0514658921755459,-0.0109556842223392,-0.0005638440628962388,3.455231270154641
991,0.0514393665086898,0.0119999572802639,0.0006172702006281151,2.1124607241370703
1991,0.0513331986938135,0.0011332936736691,5.8175589328897746e-05,2.10275111111546
146,0.0513177146213463,-0.0020783891361125,-0.00010665818055912776,2.2507519443540285
1615,0.0509870133377802,-0.0119698454561569,-0.0006103066699242396,3.455231270154641
1999,0.0504091053730314,0.021623207741671,0.001090006557552842,2.3215640595918487
407,0.0501751939713401,0.0401027895511393,0.0020121652445202454,2.799179134513312
375,0.0501128426323783,0.0145122438094125,0.0007272497902637947,2.9095545773129388
1021,0.0499343507122806,0.0117357105394357,0.00058601508593399,2.9095545773129388
1825,0.0481678070492556,-0.0046981844919028,-0.00022630124408777903,0.612157229355559
1692,0.0476690694783733,-0.0349922652325174,-0.0016680487225745385,3.2441936328524905
1063,0.0471032690018099,-0.0010582715936156,-4.984805155104966e-05,3.2163789446696134
1060,0.0458292456926648,-0.0139603540327039,-0.0006397924949213708,2.420243136462278
800,0.0456469579667497,0.0018760370671048,8.563538514619719e-05,2.3079997256955447
1349,0.0446585622691175,0.0039087957072594,0.0001745611964899031,2.1389368014657126
1597,0.0443518972097725,0.0122874954098388,0.0005449737333827219,2.780298365309834
1755,0.0442043284141524,-0.0005024063056008,-2.2208533330118778e-05,0.764428382564909
209,0.0439690149460046,0.0166367528704058,0.0007315016356118576,3.7550192566184815
1369,0.0435798590271033,0.0044148206674162,0.0001923972623159401,2.590533867674371
1342,0.0431743953797575,0.0278882320047766,0.0012040575550166322,3.858482238500116
1387,0.042797938506103,-0.0154178287457547,-0.0006598512865584368,3.636666582667002
1772,0.042464285528456,0.0202083607236979,0.0008581335998331433,4.344345567706193
1768,0.0423422545311038,0.0112039624045623,0.0004744010278908947,2.60856692261726
1408,0.041655865394991,0.0003777826325421,1.5736862489739062e-05,3.0891642183465433
884,0.0416546494813051,0.0246172512339567,0.001025422971343692,3.738069698304708
24,0.0406606876800261,-0.0288289528895391,-0.0011722050495837353,2.910656101198872
373,0.0399967224924186,-0.0083122713539556,-0.00033246361062584277,1.3723914559508992
751,0.0399229162235901,0.0110094445747224,0.00043952913342490093,3.387294476493164
447,0.0397460270332982,0.0064238388054212,0.000255322070817821,2.4088348928367562
896,0.0394644564111436,-0.0041551236320794,-0.00016397969546111017,1.1479075803929872
143,0.037637484508708,0.0277948690836274,0.0010461289545565932,2.737067150172703
1138,0.0374422561579376,0.0267633768884357,0.0010020812131082363,2.737067150172703
456,0.0371958088969312,0.0288162184510531,0.0010718425546375938,2.737067150172703
211,0.0360769799677695,0.0231368354970182,0.0008347071507435038,4.27874828522038
599,0.0360334287911807,0.0048387976677871,0.00017435847119713768,2.4464554634137476
1566,0.0355999218122435,0.0016418427233828,5.8449472580428616e-05,2.3079997256955447
1286,0.0353902560162516,-0.0114456711735367,-0.0004050652331092947,2.6762608786128026
898,0.0351064300095408,-0.0248995228709815,-0.0008741333569410724,3.810369351701646
41,0.0346715343947305,0.002726645834604,9.453699483672124e-05,2.8820465091501744
864,0.0343846995668434,0.0008742595776063,3.0061152919428038e-05,2.851805104747348
1707,0.0333049657792838,0.0012570541932566,4.186614688911627e-05,0.6359354348088351
1852,0.0331126313239565,0.0224136778449847,0.0007421758510949101,3.3908510896080113
149,0.0330113293142947,0.0001676306431808,5.533710365208419e-06,2.3079997256955447
1548,0.0329898823546124,0.0109699676083932,0.0003618979408348004,4.587330267859761
1895,0.0329803383341971,0.0003312394950625,1.0924390616809859e-05,2.1209304251877947
1086,0.0316040768340991,0.0016709428324866,5.280860566329368e-05,0.6359354348088351
31,0.0309886783610277,0.0183997455565144,0.0005701837969755734,3.3908510896080113
1716,0.0301129248968073,0.0018273714876329,5.502750036565655e-05,3.3455734779141584
333,0.0297351195676243,-0.004979514568536,-0.0001480664610841451,2.452245867548452
284,0.028237077315091,-0.0083528928207756,-0.00023586128038490916,2.4464554634137476
1004,0.0281938942246313,0.0007605143411374,2.1441860890343022e-05,1.9946593140652222
772,0.0280887240660269,-0.0098324081254339,-0.00027617979873987365,3.028255465259551
1736,0.0276293661413084,-0.0061387185066442,-0.00016960890125849854,2.108829158574428
120,0.0272212078010004,-0.0144926437556469,-0.00039450726725833514,3.6023348527137506
1123,0.0268962788177252,-0.0074493377300818,-0.00020035946459568023,2.800823601254565
1996,0.0260071497809588,0.0031547176611943,8.20452147313162e-05,3.4395224959838235
957,0.0258135613032307,-0.0162148787918115,-0.0004185637677168815,3.614143107999919
1878,0.0255119879347868,0.0009046560280371,2.3079573672414643e-05,1.579879110192556
689,0.0252099492484429,-5.4634030135580174e-05,-1.3773211269558762e-06,4.964706362207856
1462,0.0251907041313868,0.0043508455664481,0.0001096008633857501,2.636660205015537
1982,0.0247678934065475,0.0095970766040638,0.00023769937034392308,2.8899318546677795
1964,0.0247137907143162,-0.0062503298501215,-0.00015446934381134608,3.034888988755185
